library	id	cell_line	control_type	dsb_type	guide_rna	construct	strand	version
yjl89	89	WT	notControl	2DSBanti	sgCD	antisense	R1	old
yjl89	89	WT	notControl	2DSBanti	sgCD	antisense	R2	old
yjl90	90	WT	notControl	2DSBanti	sgCD	antisense	R1	old
yjl90	90	WT	notControl	2DSBanti	sgCD	antisense	R2	old
yjl91	91	WT	notControl	2DSBanti	sgCD	antisense	R1	old
yjl91	91	WT	notControl	2DSBanti	sgCD	antisense	R2	old
yjl92	92	WT	notControl	2DSBanti	sgCD	antisense	R1	old
yjl92	92	WT	notControl	2DSBanti	sgCD	antisense	R2	old
yjl93	93	WT	notControl	2DSBanti	sgCD	splicing	R1	old
yjl93	93	WT	notControl	2DSBanti	sgCD	splicing	R2	old
yjl94	94	WT	notControl	2DSBanti	sgCD	splicing	R1	old
yjl94	94	WT	notControl	2DSBanti	sgCD	splicing	R2	old
yjl95	95	WT	notControl	2DSBanti	sgCD	splicing	R1	old
yjl95	95	WT	notControl	2DSBanti	sgCD	splicing	R2	old
yjl96	96	WT	notControl	2DSBanti	sgCD	splicing	R1	old
yjl96	96	WT	notControl	2DSBanti	sgCD	splicing	R2	old
yjl217	217	WT	notControl	2DSB	sgAB	sense	R1	versionNone
yjl217	217	WT	notControl	2DSB	sgAB	sense	R2	versionNone
yjl218	218	WT	notControl	2DSB	sgAB	sense	R1	versionNone
yjl218	218	WT	notControl	2DSB	sgAB	sense	R2	versionNone
yjl219	219	WT	notControl	2DSB	sgAB	sense	R1	versionNone
yjl219	219	WT	notControl	2DSB	sgAB	sense	R2	versionNone
yjl220	220	WT	notControl	2DSB	sgAB	sense	R1	versionNone
yjl220	220	WT	notControl	2DSB	sgAB	sense	R2	versionNone
yjl221	221	WT	notControl	2DSB	sgAB	branch	R1	versionNone
yjl221	221	WT	notControl	2DSB	sgAB	branch	R2	versionNone
yjl222	222	WT	notControl	2DSB	sgAB	branch	R1	versionNone
yjl222	222	WT	notControl	2DSB	sgAB	branch	R2	versionNone
yjl223	223	WT	notControl	2DSB	sgAB	branch	R1	versionNone
yjl223	223	WT	notControl	2DSB	sgAB	branch	R2	versionNone
yjl224	224	WT	notControl	2DSB	sgAB	branch	R1	versionNone
yjl224	224	WT	notControl	2DSB	sgAB	branch	R2	versionNone
yjl225	225	WT	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl225	225	WT	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl226	226	WT	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl226	226	WT	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl227	227	WT	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl227	227	WT	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl228	228	WT	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl228	228	WT	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl229	229	KO	notControl	2DSB	sgAB	sense	R1	versionNone
yjl229	229	KO	notControl	2DSB	sgAB	sense	R2	versionNone
yjl230	230	KO	notControl	2DSB	sgAB	sense	R1	versionNone
yjl230	230	KO	notControl	2DSB	sgAB	sense	R2	versionNone
yjl231	231	KO	notControl	2DSB	sgAB	sense	R1	versionNone
yjl231	231	KO	notControl	2DSB	sgAB	sense	R2	versionNone
yjl232	232	KO	notControl	2DSB	sgAB	sense	R1	versionNone
yjl232	232	KO	notControl	2DSB	sgAB	sense	R2	versionNone
yjl233	233	KO	notControl	2DSB	sgAB	branch	R1	versionNone
yjl233	233	KO	notControl	2DSB	sgAB	branch	R2	versionNone
yjl234	234	KO	notControl	2DSB	sgAB	branch	R1	versionNone
yjl234	234	KO	notControl	2DSB	sgAB	branch	R2	versionNone
yjl235	235	KO	notControl	2DSB	sgAB	branch	R1	versionNone
yjl235	235	KO	notControl	2DSB	sgAB	branch	R2	versionNone
yjl236	236	KO	notControl	2DSB	sgAB	branch	R1	versionNone
yjl236	236	KO	notControl	2DSB	sgAB	branch	R2	versionNone
yjl237	237	KO	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl237	237	KO	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl238	238	KO	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl238	238	KO	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl239	239	KO	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl239	239	KO	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl240	240	KO	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl240	240	KO	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl244	244	WT	noDSB	1DSB	sgA	sense	R1	versionNone
yjl244	244	WT	noDSB	1DSB	sgB	sense	R2	versionNone
yjl245	245	WT	noDSB	1DSB	sgA	branch	R1	versionNone
yjl245	245	WT	noDSB	1DSB	sgB	branch	R2	versionNone
yjl246	246	WT	noDSB	1DSB	sgA	cmv	R1	versionNone
yjl246	246	WT	noDSB	1DSB	sgB	cmv	R2	versionNone
yjl255	255	WT	notControl	1DSB	sgA	sense	R1	versionNone
yjl255	255	WT	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl256	256	WT	notControl	1DSB	sgA	sense	R1	versionNone
yjl256	256	WT	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl257	257	WT	notControl	1DSB	sgA	sense	R1	versionNone
yjl257	257	WT	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl258	258	WT	notControl	1DSB	sgA	sense	R1	versionNone
yjl258	258	WT	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl259	259	WT	notControl	1DSB	sgA	branch	R1	versionNone
yjl259	259	WT	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl260	260	WT	notControl	1DSB	sgA	branch	R1	versionNone
yjl260	260	WT	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl261	261	WT	notControl	1DSB	sgA	branch	R1	versionNone
yjl261	261	WT	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl262	262	WT	notControl	1DSB	sgA	branch	R1	versionNone
yjl262	262	WT	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl263	263	WT	notControl	1DSB	sgA	cmv	R1	versionNone
yjl263	263	WT	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl264	264	WT	notControl	1DSB	sgA	cmv	R1	versionNone
yjl264	264	WT	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl265	265	WT	notControl	1DSB	sgA	cmv	R1	versionNone
yjl265	265	WT	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl266	266	WT	notControl	1DSB	sgA	cmv	R1	versionNone
yjl266	266	WT	30bpDown	1DSB	sgA	cmv	R1	versionNone
yjl267	267	WT	notControl	1DSB	sgB	sense	R2	versionNone
yjl267	267	WT	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl268	268	WT	notControl	1DSB	sgB	sense	R2	versionNone
yjl268	268	WT	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl269	269	WT	notControl	1DSB	sgB	sense	R2	versionNone
yjl269	269	WT	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl270	270	WT	notControl	1DSB	sgB	sense	R2	versionNone
yjl270	270	WT	30bpDown	1DSB	sgB	sense	R2	versionNone
yjl271	271	WT	notControl	1DSB	sgB	branch	R2	versionNone
yjl271	271	WT	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl272	272	WT	notControl	1DSB	sgB	branch	R2	versionNone
yjl272	272	WT	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl273	273	WT	notControl	1DSB	sgB	branch	R2	versionNone
yjl273	273	WT	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl274	274	WT	notControl	1DSB	sgB	branch	R2	versionNone
yjl274	274	WT	30bpDown	1DSB	sgB	branch	R2	versionNone
yjl275	275	WT	notControl	1DSB	sgB	cmv	R2	versionNone
yjl275	275	WT	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl276	276	WT	notControl	1DSB	sgB	cmv	R2	versionNone
yjl276	276	WT	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl277	277	WT	notControl	1DSB	sgB	cmv	R2	versionNone
yjl277	277	WT	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl278	278	WT	notControl	1DSB	sgB	cmv	R2	versionNone
yjl278	278	WT	30bpDown	1DSB	sgB	cmv	R2	versionNone
yjl281	281	KO	noDSB	1DSB	sgA	sense	R1	versionNone
yjl281	281	KO	noDSB	1DSB	sgB	sense	R2	versionNone
yjl282	282	KO	noDSB	1DSB	sgA	branch	R1	versionNone
yjl282	282	KO	noDSB	1DSB	sgB	branch	R2	versionNone
yjl283	283	KO	noDSB	1DSB	sgA	cmv	R1	versionNone
yjl283	283	KO	noDSB	1DSB	sgB	cmv	R2	versionNone
yjl292	292	KO	notControl	1DSB	sgA	sense	R1	versionNone
yjl292	292	KO	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl293	293	KO	notControl	1DSB	sgA	sense	R1	versionNone
yjl293	293	KO	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl294	294	KO	notControl	1DSB	sgA	sense	R1	versionNone
yjl294	294	KO	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl295	295	KO	notControl	1DSB	sgA	sense	R1	versionNone
yjl295	295	KO	30bpDown	1DSB	sgA	sense	R1	versionNone
yjl296	296	KO	notControl	1DSB	sgA	branch	R1	versionNone
yjl296	296	KO	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl297	297	KO	notControl	1DSB	sgA	branch	R1	versionNone
yjl297	297	KO	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl298	298	KO	notControl	1DSB	sgA	branch	R1	versionNone
yjl298	298	KO	30bpDown	1DSB	sgA	branch	R1	versionNone
yjl299	299	KO	notControl	1DSB	sgA	branch	R1	versionNone
