ID	library	R1	R2
89	yjl89	7813781	7813781
90	yjl90	7486736	7486736
91	yjl91	8114856	8114856
92	yjl92	6586577	6586577
93	yjl93	9334492	9334492
94	yjl94	9142001	9142001
95	yjl95	8497185	8497185
96	yjl96	8346242	8346242
217	yjl217	6630053	6177083
218	yjl218	7246619	6744517
219	yjl219	8069391	7507107
220	yjl220	7513691	7001340
221	yjl221	9021462	8525251
222	yjl222	9430938	8875435
223	yjl223	9051278	8522228
224	yjl224	9192054	8656502
225	yjl225	7604379	6898791
226	yjl226	8885716	7986453
227	yjl227	8150455	7354088
228	yjl228	7694818	6940576
229	yjl229	11320509	10142826
230	yjl230	12480734	11211467
231	yjl231	12500966	11130391
232	yjl232	12479012	11080481
233	yjl233	13912975	12987477
234	yjl234	15839537	14745821
235	yjl235	13872702	12946604
236	yjl236	13493608	12582077
237	yjl237	11307677	10562895
238	yjl238	11757615	10985096
239	yjl239	10272339	9559721
240	yjl240	9412394	8729797
241	yjl241	12353899	11434799
242	yjl242	8729055	7952502
243	yjl243	9194763	8390591
244	yjl244	10005232	9354510
245	yjl245	12898941	12461219
246	yjl246	10217401	9853052
247	yjl247	8496668	8109217
248	yjl248	8842556	8301459
249	yjl249	8994367	8432686
250	yjl250	7898524	7546622
251	yjl251	8711046	8244733
252	yjl252	8055418	7604784
253	yjl253	8697160	8188255
254	yjl254	8748510	8214551
255	yjl255	7579965	7188205
256	yjl256	7982725	7629961
257	yjl257	7854740	7393944
258	yjl258	7534924	7186635
259	yjl259	8808358	8591684
260	yjl260	9297647	9042866
261	yjl261	9399483	9132842
262	yjl262	8799841	8540326
263	yjl263	8171224	7718767
264	yjl264	8180897	7755473
265	yjl265	8314116	7865452
266	yjl266	8096639	7661614
267	yjl267	7439535	7137355
268	yjl268	6937078	6618133
269	yjl269	8644152	8227882
270	yjl270	7626765	7238408
271	yjl271	9677088	9524548
272	yjl272	10357247	10125834
273	yjl273	10347003	10173904
274	yjl274	9780215	9525100
275	yjl275	7530830	7280860
276	yjl276	7081053	6872217
277	yjl277	7065585	6847531
278	yjl278	7319545	7081713
279	yjl279	7179482	6854281
280	yjl280	8143045	7726375
281	yjl281	7424148	7181166
282	yjl282	10190833	10027116
283	yjl283	7763439	7622513
284	yjl284	6747088	6592351
285	yjl285	7603110	7339860
286	yjl286	6540897	6316496
287	yjl287	6213540	5994623
288	yjl288	6775774	6548981
289	yjl289	6586903	6368302
290	yjl290	6492202	6261307
291	yjl291	6473393	6197001
292	yjl292	8597510	8418044
293	yjl293	10116623	9962248
294	yjl294	8703707	8490949
295	yjl295	9021103	8882796
296	yjl296	11021111	10968837
297	yjl297	11280773	11210555
298	yjl298	12426852	12343042
299	yjl299	11659042	11575896
300	yjl300	9933546	9593256
301	yjl301	10351309	10015551
302	yjl302	9388188	9109254
303	yjl303	8668198	8413896
304	yjl304	6589000	6494964
305	yjl305	7135014	7011524
306	yjl306	7262219	7131423
307	yjl307	6678084	6545416
308	yjl308	9837104	9730255
309	yjl309	10611250	10430885
310	yjl310	9883765	9770845
311	yjl311	10459188	10249893
312	yjl312	6846213	6718301
313	yjl313	6511345	6435913
314	yjl314	7387185	7285831
315	yjl315	6462243	6372479
349	yjl349	6302370	6161112
350	yjl350	5988345	5856132
351	yjl351	5741048	5613583
352	yjl352	5405939	5281487
353	yjl353	4177291	4062558
354	yjl354	4647120	4535123
355	yjl355	4405688	4280724
356	yjl356	5054324	4926338
